method,score_space,variant,kind,class_id,class_name,observed_keep_frac,iou,delta_iou,acc,base_iou,support,pred_support,intersection
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,0,wall,1.0,0.8065052735978049,0.0,0.928997907070056,0.8065052735978049,7471822,8076133,6941307
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,1,chair,1.0,0.7269299262381455,0.0,0.8601364160883955,0.7269299262381455,1604063,1673650,1379713
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,2,floor,1.0,0.9616993172914998,0.0,0.9830702168916277,0.9616993172914998,6966244,7003111,6848307
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,3,table,1.0,0.6964867060660596,0.0,0.826329641782882,0.6964867060660596,877680,888875,725253
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,4,door,1.0,0.6776513284645369,0.0,0.7957158591442011,0.6776513284645369,874341,848060,695727
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,5,couch,1.0,0.8336379741852027,0.0,0.9189319510578022,0.8336379741852027,580685,593023,533610
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,6,cabinet,1.0,0.44309087373306727,0.0,0.6003080562608012,0.44309087373306727,542758,518403,325822
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,7,shelf,1.0,0.411240919494477,0.0,0.5465879256413139,0.411240919494477,756065,662091,413256
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,8,desk,1.0,0.6678652876690404,0.0,0.858425738437309,0.6678652876690404,466695,533784,400623
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,9,office chair,1.0,0.14135200180580587,0.0,0.23541278380210087,0.14135200180580587,188864,170138,44461
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,10,bed,1.0,0.790032911748089,0.0,0.876880608231295,0.790032911748089,602797,594846,528581
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,11,pillow,1.0,0.6202647103213399,0.0,0.8383577681398497,0.6202647103213399,112749,134168,94524
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,12,sink,1.0,0.6765847662857621,0.0,0.8264385414653712,0.6765847662857621,67273,70497,55597
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,13,picture,1.0,0.3596299474823365,0.0,0.48849673010938705,0.3596299474823365,136396,115504,66629
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,14,window,1.0,0.6437105915018618,0.0,0.7957479961696265,0.6437105915018618,829162,855643,659804
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,15,toilet,1.0,0.9542043585526303,0.0,0.9750781270516544,0.9542043585526303,76158,75926,74260
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,16,bookshelf,1.0,0.5024733376424012,0.0,0.6793744384392912,0.5024733376424012,732334,755355,497529
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,17,monitor,1.0,0.9218406439216354,0.0,0.9651172436677353,0.9218406439216354,144656,146401,139610
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,18,curtain,1.0,0.7084209288747451,0.0,0.8503189512280875,0.7084209288747451,418089,439253,355509
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,19,book,1.0,0.427341224249873,0.0,0.6679487661358688,0.427341224249873,239451,294760,159941
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,20,armchair,1.0,0.5557119338061773,0.0,0.7462420886075947,0.5557119338061773,227520,247792,169785
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,21,coffee table,1.0,0.6289202829876795,0.0,0.745182012847965,0.6289202829876795,114882,106845,85608
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,22,box,1.0,0.40059039113412614,0.0,0.5193503660880067,0.40059039113412614,123331,100615,64052
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,23,refrigerator,1.0,0.6786776949744762,0.0,0.8439740989366299,0.6786776949744762,117833,128147,99448
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,24,lamp,1.0,0.7237737972428008,0.0,0.8364511304272412,0.7237737972428008,46133,45770,38588
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,25,kitchen cabinet,1.0,0.7264482129364686,0.0,0.82664998804975,0.7264482129364686,322169,310759,266321
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,26,towel,1.0,0.5314384151593444,0.0,0.6958433069416298,0.5314384151593444,43448,43674,30233
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,27,clothes,1.0,0.21461999927722145,0.0,0.5125024271320996,0.21461999927722145,46351,88088,23755
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,28,tv,1.0,0.8626195952928617,0.0,0.9384542849889373,0.8626195952928617,82719,84900,77628
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,29,nightstand,1.0,0.6791876779527277,0.0,0.8078092168342871,0.6791876779527277,49019,48881,39598
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,30,counter,1.0,0.3736616273007976,0.0,0.6279398881326224,0.3736616273007976,59356,77664,37272
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,31,dresser,1.0,0.46447785670657693,0.0,0.6439276186057294,0.46447785670657693,86210,88820,55513
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,32,stool,1.0,0.622165643252956,0.0,0.7950926351247865,0.622165643252956,26124,28032,20771
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,33,cushion,1.0,0.0,0.0,0.0,0.0,885,654,0
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,34,plant,1.0,0.7762731481481474,0.0,0.9045382004540438,0.7762731481481474,88978,95186,80484
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,35,ceiling,1.0,0.9335034073237323,0.0,0.9656399463194618,0.9335034073237323,1020109,1020176,985058
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,36,bathtub,1.0,0.8815246975127315,0.0,0.9067285704386377,0.8815246975127315,72155,67488,65425
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,37,end table,1.0,0.1793246037215709,0.0,0.26311177025751564,0.1793246037215709,29668,21668,7806
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,38,dining table,1.0,0.00020154517971111792,0.0,0.00025997660210580936,0.00020154517971111792,23079,6697,6
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,39,keyboard,1.0,0.43069811705526184,0.0,0.6589018302828551,0.43069811705526184,9616,11431,6336
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,40,bag,1.0,0.2667593422472604,0.0,0.4681110576151486,0.2667593422472604,31155,38100,14584
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,41,backpack,1.0,0.6873497808567787,0.0,0.7726753484121537,0.6873497808567787,100671,90283,77786
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,42,toilet paper,1.0,0.5078745281790901,0.0,0.561277330264664,0.5078745281790901,6952,4633,3902
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,43,printer,1.0,0.5211129936139693,0.0,0.7071984435797635,0.5211129936139693,22616,24070,15994
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,44,tv stand,1.0,0.30802062446290374,0.0,0.3737833704115671,0.30802062446290374,28768,16895,10753
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,45,whiteboard,1.0,0.4993231537924582,0.0,0.7726694275955863,0.4993231537924582,228667,301864,176684
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,46,blanket,1.0,0.04815218302187204,0.0,0.08258120149468214,0.04815218302187204,34790,27748,2873
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,47,shower curtain,1.0,0.6479832880865911,0.0,0.727842461684685,0.6479832880865911,101004,85963,73515
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,48,trash can,1.0,0.6915770263016637,0.0,0.8260508296360881,0.6915770263016637,194965,198961,161051
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,49,closet,1.0,0.1235397478228965,0.0,0.15983412026280905,0.1235397478228965,40029,18158,6398
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,50,stairs,1.0,0.6485275288092168,0.0,0.7209964412811362,0.6485275288092168,26695,22230,19247
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,51,microwave,1.0,0.49189562813201837,0.0,0.8818463444857442,0.49189562813201837,16140,27028,14233
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,52,stove,1.0,0.646179613683117,0.0,0.8327819619436408,0.646179613683117,42621,47802,35494
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,53,shoe,1.0,0.5423453384225821,0.0,0.7706890070350638,0.5423453384225821,18621,22191,14351
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,54,computer tower,1.0,0.6686281935502646,0.0,0.8505781203676221,0.6686281935502646,26984,30295,22952
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,55,bottle,1.0,0.12031400192245882,0.0,0.21806039488965684,0.12031400192245882,3444,3549,751
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,56,bin,1.0,0.0,0.0,0.0,0.0,7308,1968,0
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,57,ottoman,1.0,0.45364030497832125,0.0,0.5112893442070483,0.45364030497832125,29674,18943,15172
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,58,bench,1.0,0.4159369349235043,0.0,0.5103836852733651,0.4159369349235043,40111,29580,20472
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,59,board,1.0,0.12585319123458244,0.0,0.1888419728685647,0.12585319123458244,33393,23019,6306
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,60,washing machine,1.0,0.7925372911620315,0.0,0.9140670712818803,0.7925372911620315,174322,186073,159342
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,61,mirror,1.0,0.48887828325009713,0.0,0.61984310505046,0.48887828325009713,46273,41078,28682
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,62,copier,1.0,0.8298380572000965,0.0,0.9394736842105249,0.8298380572000965,68780,73704,64617
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,63,basket,1.0,0.07556449809970768,0.0,0.13307086614172703,0.07556449809970768,2540,2271,338
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,64,sofa chair,1.0,0.22742169674341392,0.0,0.2584101943654443,0.22742169674341392,63643,25118,16446
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,65,file cabinet,1.0,0.6158127234153846,0.0,0.7228210813576654,0.6158127234153846,58630,52567,42379
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,66,fan,1.0,0.5531900421711294,0.0,0.6260006157635419,0.5531900421711294,12992,9843,8133
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,67,laptop,1.0,0.519597527291855,0.0,0.7271974229176187,0.519597527291855,10865,12242,7901
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,68,shower,1.0,0.22275638610504073,0.0,0.2494557237608218,0.22275638610504073,59253,21883,14781
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,69,paper,1.0,0.15605530172669463,0.0,0.31724969843184175,0.15605530172669463,8290,11193,2630
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,70,person,1.0,0.5165780242163571,0.0,0.6714222679805755,0.5165780242163571,6799,6603,4565
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,71,paper towel dispenser,1.0,0.5214384508990298,0.0,0.9463364993215675,0.5214384508990298,14740,25960,13949
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,72,oven,1.0,0.01720389450798736,0.0,0.01764934057408827,0.01720389450798736,10312,449,182
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,73,blinds,1.0,0.005424163477977687,0.0,0.005594860705813191,0.005424163477977687,95266,3531,533
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,74,rack,1.0,0.0,0.0,0.0,0.0,11822,826,0
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,75,plate,1.0,0.0,0.0,0.0,0.0,858,1008,0
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,76,blackboard,1.0,0.6165403814410431,0.0,0.6588844138869104,0.6165403814410431,94103,68466,62003
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,77,piano,1.0,0.7317675567360981,0.0,0.8892349510164739,0.7317675567360981,17659,19503,15703
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,78,suitcase,1.0,0.6022440746343904,0.0,0.7450965100409408,0.6022440746343904,25645,25191,19108
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,79,rail,1.0,0.025973324693557828,0.0,0.02649845747025107,0.025973324693557828,18152,848,481
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,80,radiator,1.0,0.6465293161068919,0.0,0.7593010316099721,0.6465293161068919,66498,62091,50492
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,81,recycling bin,1.0,0.5385221324388867,0.0,0.6764011234520597,0.5385221324388867,31332,29215,21193
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,82,container,1.0,0.0,0.0,0.0,0.0,4254,2407,0
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,83,wardrobe,1.0,0.31072818868788604,0.0,0.4943171469163227,0.31072818868788604,54902,59577,27139
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,84,soap dispenser,1.0,0.6999057048561834,0.0,0.8074517269512971,0.6999057048561834,3677,3534,2969
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,85,telephone,1.0,0.4542917736354453,0.0,0.6085526315789382,0.4542917736354453,6688,6341,4070
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,86,bucket,1.0,0.3351265435872315,0.0,0.4937849036209603,0.3351265435872315,5551,5369,2741
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,87,clock,1.0,0.27410485152144354,0.0,0.3473749419234885,0.27410485152144354,6457,3969,2243
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,88,stand,1.0,0.0,0.0,0.0,0.0,516,1057,0
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,89,light,1.0,0.0690992559759374,0.0,0.08143656716417834,0.0690992559759374,10720,2787,873
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,90,laundry basket,1.0,0.0,0.0,0.0,0.0,12152,4514,0
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,91,pipe,1.0,0.0492853985560627,0.0,0.08936681806037818,0.0492853985560627,7486,6757,669
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,92,clothes dryer,1.0,0.38329962636684584,0.0,0.4072431148890295,0.38329962636684584,137289,64486,55910
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,93,guitar,1.0,0.23352643012309074,0.0,0.24731595092023592,0.23352643012309074,2608,799,645
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,94,toilet paper holder,1.0,0.10638297872339347,0.0,0.2023121387282847,0.10638297872339347,519,573,105
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,95,seat,1.0,0.013927881284865228,0.0,0.014750743329343112,0.013927881284865228,25897,1912,382
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,96,speaker,1.0,0.0,0.0,0.0,0.0,221,705,0
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,97,column,1.0,0.0,0.0,0.0,0.0,9598,4032,0
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,98,bicycle,1.0,0.0,0.0,0.0,0.0,0,8611,0
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,99,ladder,1.0,0.7798283261802519,0.0,0.8684776547438791,0.7798283261802519,12553,12329,10902
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,100,bathroom stall,1.0,0.529224595996802,0.0,0.5935536042331385,0.529224595996802,113769,81357,67528
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,101,shower wall,1.0,0.4552012545739674,0.0,0.5532260933648443,0.4552012545739674,157404,120976,87080
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,102,cup,1.0,0.1834130781499166,0.0,0.34469838890969107,0.1834130781499166,2669,3267,920
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,103,jacket,1.0,0.1661823976005241,0.0,0.21757270830776648,0.1661823976005241,16298,8586,3546
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,104,storage bin,1.0,0.08567114360645248,0.0,0.10419485791610184,0.08567114360645248,10346,3315,1078
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,105,coffee maker,1.0,0.8329260843005243,0.0,0.9956188389922966,0.8329260843005243,2739,3262,2727
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,106,dishwasher,1.0,0.5129633313440719,0.0,0.8214930444939915,0.5129633313440719,9417,13400,7736
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,107,paper towel roll,1.0,0.6481143552311238,0.0,0.8575452716297441,0.6481143552311238,2485,2934,2131
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,108,machine,1.0,0.0,0.0,0.0,0.0,10810,203,0
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,109,mat,1.0,0.31276256699985366,0.0,0.4036268461394628,0.31276256699985366,16047,11139,6477
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,110,windowsill,1.0,0.1419276258854446,0.0,0.1574176117174441,0.1419276258854446,28129,7498,4428
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,111,bar,1.0,0.15001051967178308,0.0,0.30301742456437303,0.15001051967178308,2353,3113,713
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,112,toaster,1.0,0.33625336927221455,0.0,0.9344569288387763,0.33625336927221455,534,1449,499
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,113,bulletin board,1.0,0.3765012009607671,0.0,0.49197049746298854,0.3765012009607671,19117,15268,9405
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,114,ironing board,1.0,0.30721793973370276,0.0,0.3144004589787677,0.30721793973370276,6972,2355,2192
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,115,fireplace,1.0,0.6049498213981952,0.0,0.6578801331853477,0.6049498213981952,32436,24177,21339
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,116,soap dish,1.0,0.38326398520571503,0.0,0.5639455782312541,0.38326398520571503,1470,1522,829
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,117,kitchen counter,1.0,0.5805280241954898,0.0,0.6659263924337336,0.5805280241954898,90507,73585,60271
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,118,doorframe,1.0,0.45857776418412577,0.0,0.6033772254595791,0.45857776418412577,124244,114197,74966
ptv3_scannet200_maskedmodel_full,retained,clean_voxel,clean,119,toilet paper dispenser,1.0,0.4391471011020551,0.0,0.6623306233062211,0.4391471011020551,5535,6479,3666
