model,base_row,suite,family,best_delta_miou,best_delta_picture,source,notes
Concerto decoder,frozen encoder + decoder probe,frozen,class-prior correction / decoupled classifier,0.0002,-0.0006,results_decoupled_classifier_readout.md,tests long-tail / class-prior miscalibration; no meaningful recovery
Concerto decoder,frozen encoder + decoder probe,frozen,nonparametric feature readout: prototype or kNN,0.0002,0.0008,results_knn_readout_small.md; results_prototype_readout.md,tests nonparametric/metric readout geometry; no meaningful recovery
Concerto decoder,frozen encoder + decoder probe,frozen,candidate-set reranking: constrained Top-K,0.00022,0.0013,results_topk_pairwise_rerank_decoder.md; results_constrained_topk_set_decoder.md,tests whether oracle candidate-set headroom is recoverable by reranking; no meaningful recovery
Concerto decoder,frozen encoder + decoder probe,adaptation,capacity-limited adaptation: fixed-rank LoRA,-0.0028,-0.0013,results_scannet_dec_lora_origin_perclass.md,decoder-capacity-matched LoRA; same-head linear LoRA is positive but head-capacity confounded
Concerto linear,frozen encoder + linear head,adaptation,capacity-limited adaptation: fixed-rank LoRA,0.0134,0.0289,results_scannet_lora_origin_perclass.md; results_scannet_linear_origin_oracle_actionability/,protocol-matched to the linear-head family; strongest picture recovery among linear-head adaptation rows
Concerto linear,frozen encoder + linear head,adaptation,LP-FT warm-start adaptation,0.0166,0.0125,results_scannet_lora_lpft_classsafe.md; results_scannet_lora_lpft_plain_oracle_actionability/,protocol-matched to the linear-head family; strongest mIoU recovery among linear-head adaptation rows
Concerto decoder,frozen encoder + decoder probe,adaptation,full fine-tuning,0.0187,0.0198,results_scannet_origin_fullft.md; results_scannet_origin_fullft_oracle_actionability/,maximum practical adaptation budget; improves aggregate but leaves large oracle headroom
Sonata linear,released backbone + linear head,frozen,class-prior correction / decoupled classifier,0.0017,-5e-05,results_sonata_recovery_decoupled_classifier.md,small aggregate gain; picture does not recover
Sonata linear,released backbone + linear head,frozen,nonparametric feature readout: prototype or kNN,0.0,0.00012,results_sonata_recovery_retrieval_prototype.md,protocol-matched prototype/kNN family complete; no aggregate recovery
Sonata linear,released backbone + linear head,frozen,candidate-set reranking: constrained Top-K,0.0,0.00064,data/runs/sonata_recovery_topk/topk_pairwise_rerank_decoder.md,no aggregate recovery; tiny picture-only movement
Sonata full FT,released backbone + full fine-tuned head,adaptation,full fine-tuning,0.0684,-0.0074,results_sonata_fullft_oracle_actionability/oracle_actionability_analysis.md,"full-FT improves aggregate relative to Sonata linear under the oracle evaluator, but does not improve picture"
Utonia released stack,released backbone + released ScanNet linear head,frozen,class-prior correction / decoupled classifier,-0.01567379501139221,-0.00371243139769728,results_utonia_scannet_frozen_recovery/oracle_actionability_analysis.md,best mIoU variant: prior_alpha0p25; best picture variant: prior_alpha0p25
Utonia released stack,released backbone + released ScanNet linear head,frozen,nonparametric feature readout: prototype or kNN,0.00010273166512397847,0.002092871200934654,results_utonia_scannet_frozen_recovery/oracle_actionability_analysis.md,best mIoU variant: multiproto4_adapt_tau0p05_lam0p2; best picture variant: proto_tau0p1_lam0p2
Utonia released stack,released backbone + released ScanNet linear head,frozen,candidate-set reranking: constrained Top-K / pair rerank,-0.03465739003529389,-0.13619269245438667,results_utonia_scannet_frozen_recovery/oracle_actionability_analysis.md,best mIoU variant: pair_probe_top2; best picture variant: pair_probe_top2
PTv3 supervised,supervised backbone + released ScanNet head,frozen,class-prior correction / decoupled classifier,0.0013177447737877657,0.008061975304110791,results_ptv3_scannet20_frozen_recovery.md,best mIoU variant: prior_alpha0p25; best picture variant: prior_alpha0p75
PTv3 supervised,supervised backbone + released ScanNet head,frozen,nonparametric feature readout: prototype or kNN,-1.1387990694222694e-05,0.0011407116654822413,results_ptv3_scannet20_frozen_recovery.md,best mIoU variant: multiproto4_adapt_tau0p1_lam0p05; best picture variant: multiproto4_tau0p05_lam0p2
PTv3 supervised,supervised backbone + released ScanNet head,frozen,candidate-set reranking: constrained Top-K / pair rerank,-0.022489640253007814,-0.26374231320171126,results_ptv3_scannet20_frozen_recovery.md,best mIoU variant: pair_probe_top2; best picture variant: pair_probe_top2
